#1	
double	presence(8761,2)
1587600	0.586
1591200	0.6035
1594800	0.586
1598400	0.6725
1602000	0.7585
1605600	0.6725
1609200	0.6895
1612800	0.6725
1616400	0.724
1620000	0.7415
1623600	0.845
1627200	0.931
1630800	0.931
1634400	0.931
1638000	1
1641600	0.983
1645200	0.983
1648800	0.983
1652400	1
1656000	1
1659600	0.983
1663200	0.914
1666800	0.862
1670400	0.8275
1674000	0.776
1677600	0.724
1681200	0.655
1684800	0.793
1688400	0.8275
1692000	0.776
1695600	0.7415
1699200	0.724
1702800	0.7415
1706400	0.7415
1710000	0.7585
1713600	0.845
1717200	0.8795
1720800	0.8965
1724400	0.983
1728000	0.983
1731600	0.983
1735200	0.983
1738800	1
1742400	1
1746000	0.983
1749600	0.914
1753200	0.862
1756800	0.8275
1760400	0.776
1764000	0.724
1767600	0.655
1771200	0.793
1774800	0.8275
1778400	0.776
1782000	0.7415
1785600	0.724
1789200	0.7415
1792800	0.7415
1796400	0.7585
1800000	0.845
1803600	0.8795
1807200	0.8965
1810800	0.983
1814400	1
1818000	1
1821600	1
1825200	1
1828800	1
1832400	1
1836000	0.931
1839600	0.8105
1843200	0.7415
1846800	0.586
1850400	0.6035
1854000	0.586
1857600	0.6725
1861200	0.7585
1864800	0.6725
1868400	0.6895
1872000	0.6725
1875600	0.724
1879200	0.7415
1882800	0.845
1886400	0.931
1890000	0.931
1893600	0.931
1897200	1
1900800	1
1904400	1
1908000	1
1911600	1
1915200	1
1918800	1
1922400	0.931
1926000	0.8105
1929600	0.7415
1933200	0.586
1936800	0.6035
1940400	0.586
1944000	0.6725
1947600	0.7585
1951200	0.6725
1954800	0.6895
1958400	0.6725
1962000	0.724
1965600	0.7415
1969200	0.845
1972800	0.931
1976400	0.931
1980000	0.931
1983600	1
1987200	1
1990800	1
1994400	1
1998000	1
2001600	1
2005200	1
2008800	0.931
2012400	0.8105
2016000	0.7415
2019600	0.586
2023200	0.6035
2026800	0.586
2030400	0.6725
2034000	0.7585
2037600	0.6725
2041200	0.6895
2044800	0.6725
2048400	0.724
2052000	0.7415
2055600	0.845
2059200	0.931
2062800	0.931
2066400	0.931
2070000	1
2073600	1
2077200	1
2080800	1
2084400	1
2088000	1
2091600	1
2095200	0.931
2098800	0.8105
2102400	0.7415
2106000	0.586
2109600	0.6035
2113200	0.586
2116800	0.6725
2120400	0.7585
2124000	0.6725
2127600	0.6895
2131200	0.6725
2134800	0.724
2138400	0.7415
2142000	0.845
2145600	0.931
2149200	0.931
2152800	0.931
2156400	1
2160000	1
2163600	1
2167200	1
2170800	1
2174400	1
2178000	1
2181600	0.931
2185200	0.8105
2188800	0.7415
2192400	0.586
2196000	0.6035
2199600	0.586
2203200	0.6725
2206800	0.7585
2210400	0.6725
2214000	0.6895
2217600	0.6725
2221200	0.724
2224800	0.7415
2228400	0.845
2232000	0.931
2235600	0.931
2239200	0.931
2242800	1
2246400	0.983
2250000	0.983
2253600	0.983
2257200	1
2260800	1
2264400	0.983
2268000	0.914
2271600	0.862
2275200	0.8275
2278800	0.776
2282400	0.724
2286000	0.655
2289600	0.793
2293200	0.8275
2296800	0.776
2300400	0.7415
2304000	0.724
2307600	0.7415
2311200	0.7415
2314800	0.7585
2318400	0.845
2322000	0.8795
2325600	0.8965
2329200	0.983
2332800	0.983
2336400	0.983
2340000	0.983
2343600	1
2347200	1
2350800	0.983
2354400	0.914
2358000	0.862
2361600	0.8275
2365200	0.776
2368800	0.724
2372400	0.655
2376000	0.793
2379600	0.8275
2383200	0.776
2386800	0.7415
2390400	0.724
2394000	0.7415
2397600	0.7415
2401200	0.7585
2404800	0.845
2408400	0.8795
2412000	0.8965
2415600	0.983
