#1	
double	presence(8760,2)
1666800	0.621
1670400	0.483
1674001	0.172
1677601	0.207
1681202	0.172
1684802	0.345
1688403	0.517
1692003	0.345
1695604	0.379
1699204	0.345
1702805	0.448
1706405	0.483
1710006	0.69
1713606	0.862
1717207	0.862
1720807	1
1724408	1
1728008	1
1731609	1
1735209	1
1738810	1
1742410	1
1746011	1
1749611	0.862
1753212	0.621
1756812	0.483
1760413	0.172
1764013	0.207
1767614	0.172
1771214	0.345
1774815	0.517
1778415	0.345
1782016	0.379
1785616	0.345
1789217	0.448
1792817	0.483
1796418	0.69
1800018	0.862
1803619	0.862
1807219	1
1810820	1
1814420	0.966
1818021	0.966
1821621	0.966
1825222	1
1828822	1
1832423	0.966
1836023	0.822
1839624	0.724
1843224	0.655
1846825	0.552
1850425	0.448
1854026	0.31
1857626	0.586
1861227	0.655
1864827	0.552
1868428	0.483
1872028	0.448
1875629	0.483
1879229	0.517
1882830	0.69
1886430	0.759
1890031	0.793
1893631	0.793
1897232	0.966
1900832	0.966
1904433	0.966
1908033	0.966
1911634	1
1915234	1
1918835	0.966
1922435	0.822
1926036	0.724
1929636	0.655
1933237	0.552
1936837	0.448
1940438	0.31
1944038	0.586
1947639	0.655
1951239	0.552
1954840	0.483
1958440	0.448
1962041	0.483
1965641	0.517
1969242	0.69
1972842	0.759
1976443	0.793
1980043	0.793
1983644	0.966
1987244	1
1990845	1
1994445	1
1998046	1
2001646	1
2005247	1
2008847	0.862
2012448	0.621
2016048	0.483
2019649	0.172
2023249	0.207
2026849	0.172
2030450	0.345
2034050	0.517
2037651	0.345
2041251	0.379
2044852	0.345
2048452	0.448
2052053	0.483
2055653	0.69
2059254	0.862
2062854	0.862
2066455	1
2070055	1
2073656	1
2077256	1
2080857	1
2084457	1
2088058	1
2091658	1
2095259	0.862
2098859	0.621
2102400	0.483
2106000	0.172
2109600	0.207
2113200	0.172
2116800	0.345
2120400	0.517
2124000	0.345
2127600	0.379
2131200	0.345
2134800	0.448
2138400	0.483
2142000	0.69
2145600	0.862
2149200	0.862
2152800	1
2156400	1
2160000	1
2163600	1
2167200	1
2170800	1
2174400	1
2178000	1
2181600	0.862
2185200	0.621
2188800	0.483
2192400	0.172
2196000	0.207
2199600	0.172
2203200	0.345
2206800	0.517
2210400	0.345
2214000	0.379
2217600	0.345
2221200	0.448
2224800	0.483
2228400	0.69
2232000	0.862
2235600	0.862
2239200	1
2242800	1
2246400	1
2250000	1
2253600	1
2257200	1
2260800	1
2264400	1
2268000	0.862
2271600	0.621
2275200	0.483
2278800	0.172
2282400	0.207
2286000	0.172
2289600	0.345
2293200	0.517
2296800	0.345
2300400	0.379
2304000	0.345
2307600	0.448
2311200	0.483
2314800	0.69
2318400	0.862
2322000	0.862
2325600	1
2329200	1
2332800	1
2336400	1
2340000	1
2343600	1
2347200	1
2350800	1
2354400	0.862
2358000	0.621
2361600	0.483
2365200	0.172
2368800	0.207
2372400	0.172
2376000	0.345
2379600	0.517
2383200	0.345
2386800	0.379
2390400	0.345
2394000	0.448
2397600	0.483
2401200	0.69
2404800	0.862
2408400	0.862
2412000	1
2415600	1
2419200	0.966
2422800	0.966
2426400	0.966
2430000	1
2433600	1
2437200	0.966
2440800	0.822
2444400	0.724
2448000	0.655
2451600	0.552
2455200	0.448
2458800	0.31
2462400	0.586
2466000	0.655
2469600	0.552
2473200	0.483
2476800	0.448
2480400	0.483
2484000	0.517
2487600	0.69
2491200	0.759
2494800	0.793
2498400	0.793
2502000	0.966
2505600	0.966
2509200	0.966
2512800	0.966
2516400	1
2520000	1
2523600	0.966
2527200	0.822
2530800	0.724
2534400	0.655
2538000	0.552
2541600	0.448
2545200	0.31
2548800	0.586
2552400	0.655
2556000	0.552
2559600	0.483
2563200	0.448
2566800	0.483
2570400	0.517
2574000	0.69
2577600	0.759
2581200	0.793
2584800	0.793
2588400	0.966
2592000	1
2595600	1
2599200	1
2602800	1
2606400	1
2610000	1
2613600	0.862
2617200	0.621
2620800	0.483
2624400	0.172
2628000	0.207
2631600	0.172
2635200	0.345
2638800	0.517
2642400	0.345
2646000	0.379
2649600	0.345
2653200	0.448
2656800	0.483
2660400	0.69
2664000	0.862
2667600	0.862
2671200	1
2674800	1
2678400	1
2682000	1
2685600	1
2689200	1
2692800	1
2696400	1
2700000	0.862
2703600	0.621
2707200	0.483
2710800	0.172
2714400	0.207
2718000	0.172
2721600	0.345
2725200	0.517
2728800	0.345
2732400	0.379
2736000	0.345
2739600	0.448
2743200	0.483
2746800	0.69
2750400	0.862
2754000	0.862
2757600	1
2761200	1
2764800	1
2768400	1
2772000	1
2775600	1
2779200	1
2782800	1
2786400	0.862
2790000	0.621
2793600	0.483
2797200	0.172
2800800	0.207
2804400	0.172
2808000	0.345
2811600	0.517
2815200	0.345
2818800	0.379
2822400	0.345
2826000	0.448
2829600	0.483
2833200	0.69
