#1	
double	Pel(1441,2)
1558800	58.3
1562400	43.1
1566000	39.6
1569600	38.5
1573200	39.1
1576800	46.9
1580400	90.1
1584000	129.4
1587600	133.5
1591200	123.2
1594800	116.2
1598400	118.3
1602000	130.7
1605600	129.5
1609200	115.4
1612800	104.8
1616400	105.2
1620000	128.7
1623600	166.2
1627200	187.1
1630800	168.2
1634400	141.0
1638000	116.7
1641600	86.4
1645200	58.3
1648800	43.1
1652400	39.6
1656000	38.5
1659600	39.1
1663200	46.9
1666800	90.1
1670400	129.4
1674000	133.5
1677600	123.2
1681200	116.2
1684800	118.3
1688400	130.7
1692000	129.5
1695600	115.4
1699200	104.8
1702800	105.2
1706400	128.7
1710000	166.2
1713600	187.1
1717200	168.2
1720800	141.0
1724400	116.7
1728000	86.4
1731600	66.6
1735200	49.175
1738800	44.275
1742400	43.1
1746000	44.05
1749600	52.625
1753200	92.925
1756800	129.725
1760400	137.475
1764000	135.95
1767600	132.05
1771200	133.25
1774800	149.6
1778400	145.65
1782000	126.775
1785600	113.4
1789200	106.15
1792800	116.325
1796400	144.85
1800000	171.925
1803600	168.05
1807200	155.95
1810800	135.7
1814400	100.25
1818000	66.6
1821600	49.2
1825200	44.3
1828800	43.1
1832400	44.1
1836000	52.6
1839600	92.9
1843200	129.7
1846800	137.5
1850400	136.0
1854000	132.1
1857600	133.3
1861200	149.6
1864800	145.7
1868400	126.8
1872000	113.4
1875600	106.2
1879200	116.3
1882800	144.9
1886400	171.9
1890000	168.1
1893600	156.0
1897200	135.7
1900800	100.3
1904400	66.6
1908000	49.2
1911600	44.3
1915200	43.1
1918800	44.1
1922400	52.6
1926000	92.9
1929600	129.7
1933200	137.5
1936800	136.0
1940400	132.1
1944000	133.3
1947600	149.6
1951200	145.7
1954800	126.8
1958400	113.4
1962000	106.2
1965600	116.3
1969200	144.9
1972800	171.9
1976400	168.1
1980000	156.0
1983600	135.7
1987200	100.3
1990800	66.6
1994400	49.2
1998000	44.3
2001600	43.1
2005200	44.1
2008800	52.6
2012400	92.9
2016000	129.7
2019600	137.5
2023200	136.0
2026800	132.1
2030400	133.3
2034000	149.6
2037600	145.7
2041200	126.8
2044800	113.4
2048400	106.2
2052000	116.3
2055600	144.9
2059200	171.9
2062800	168.1
2066400	156.0
2070000	135.7
2073600	100.3
2077200	66.6
2080800	49.2
2084400	44.3
2088000	43.1
2091600	44.1
2095200	52.6
2098800	92.9
2102400	129.7
2106000	137.5
2109600	136.0
2113200	132.1
2116800	133.3
2120400	149.6
2124000	145.7
2127600	126.8
2131200	113.4
2134800	106.2
2138400	116.3
2142000	144.9
