#1	
double	Pel(35040,2)
358200	0.04795
359100	0.04795
360000	0.04807
360900	0.04855
361800	0.04923
362700	0.05007
363600	0.05123
364500	0.05396
365400	0.05973
366300	0.06984
367200	0.08511
368100	0.10363
369000	0.12267
369900	0.13959
370800	0.15218
371700	0.16084
372600	0.16609
373500	0.16870
374400	0.16946
375300	0.16870
376200	0.16661
377100	0.16360
378000	0.15984
378900	0.15595
379800	0.15210
380700	0.14893
381600	0.14685
382500	0.14544
383400	0.14484
384300	0.14484
385200	0.14532
386100	0.14645
387000	0.14857
387900	0.15210
388800	0.15695
389700	0.16220
390600	0.16645
391500	0.16870
392400	0.16797
393300	0.16485
394200	0.16020
395100	0.15519
396000	0.15046
396900	0.14617
397800	0.14232
398700	0.13859
399600	0.13506
400500	0.13205
401400	0.12957
402300	0.12817
403200	0.12792
404100	0.12917
405000	0.13217
405900	0.13759
406800	0.14516
407700	0.15482
408600	0.16597
409500	0.17812
410400	0.19074
411300	0.20301
412200	0.21428
413100	0.22394
414000	0.23119
414900	0.23556
415800	0.23645
416700	0.23328
417600	0.22618
418500	0.21616
419400	0.20518
420300	0.19475
421200	0.18637
422100	0.17948
423000	0.17323
423900	0.16669
424800	0.15919
425700	0.15086
426600	0.14184
427500	0.13233
428400	0.12267
429300	0.11289
430200	0.10327
431100	0.09377
432000	0.10964
432900	0.10163
433800	0.09397
434700	0.08659
435600	0.07942
436500	0.07292
437400	0.06715
438300	0.06254
439200	0.05929
440100	0.05705
441000	0.05536
441900	0.05428
442800	0.05312
443700	0.05204
444600	0.05103
445500	0.05011
446400	0.04927
447300	0.04863
448200	0.04827
449100	0.04803
450000	0.04803
450900	0.04811
451800	0.04851
452700	0.04903
453600	0.04975
454500	0.05063
455400	0.05176
456300	0.05312
457200	0.05512
458100	0.05837
459000	0.06406
459900	0.07308
460800	0.08595
461700	0.10191
462600	0.11927
463500	0.13658
464400	0.15274
465300	0.16753
466200	0.18092
467100	0.19295
468000	0.20373
468900	0.21364
469800	0.22302
470700	0.23256
471600	0.24222
472500	0.25132
473400	0.25886
474300	0.26387
475200	0.26535
476100	0.26335
477000	0.25801
477900	0.24923
478800	0.23757
479700	0.22394
480600	0.20963
481500	0.19612
482400	0.18417
483300	0.17407
484200	0.16553
485100	0.15851
486000	0.15286
486900	0.14801
487800	0.14384
488700	0.13971
489600	0.13570
490500	0.13270
491400	0.13181
492300	0.13458
493200	0.14148
494100	0.15150
495000	0.16288
495900	0.17415
496800	0.18393
497700	0.19235
498600	0.20013
499500	0.20750
500400	0.21492
501300	0.22101
502200	0.22442
503100	0.22318
504000	0.21664
504900	0.20638
505800	0.19495
506700	0.18457
507600	0.17715
508500	0.17190
509400	0.16753
510300	0.16264
511200	0.15635
512100	0.14861
513000	0.13983
513900	0.13029
514800	0.12055
515700	0.11077
516600	0.10115
517500	0.09172
518400	0.08479
519300	0.07625
520200	0.06887
521100	0.06262
522000	0.05793
522900	0.05468
523800	0.05256
524700	0.05115
525600	0.05031
526500	0.04967
527400	0.04943
528300	0.04907
529200	0.04867
530100	0.04843
531000	0.04807
531900	0.04807
532800	0.04815
533700	0.04867
534600	0.04931
535500	0.05015
536400	0.05131
537300	0.05408
538200	0.05985
539100	0.07000
540000	0.08527
540900	0.10383
541800	0.12291
542700	0.13987
543600	0.15250
544500	0.16120
545400	0.16645
546300	0.16906
547200	0.16982
548100	0.16906
549000	0.16697
549900	0.16393
550800	0.16020
551700	0.15627
552600	0.15242
553500	0.14925
554400	0.14713
555300	0.14572
556200	0.14512
557100	0.14512
558000	0.14564
558900	0.14673
559800	0.14889
560700	0.15242
561600	0.15727
562500	0.16252
563400	0.16681
564300	0.16906
565200	0.16829
566100	0.16521
567000	0.16052
567900	0.15551
568800	0.15074
569700	0.14649
570600	0.14264
571500	0.13887
572400	0.13534
573300	0.13233
574200	0.12985
575100	0.12845
576000	0.12817
576900	0.12945
577800	0.13245
