#1	
double	Pel(35040,2)
411300	203.01
412200	214.28
413100	223.94
414000	231.19
414900	235.56
415800	236.45
416700	233.28
417600	226.18
418500	216.16
419400	205.18
420300	194.75
421200	186.37
422100	179.48
423000	173.23
423900	166.69
424800	159.19
425700	150.86
426600	141.84
427500	132.33
428400	122.67
429300	112.89
430200	103.27
431100	93.77
432000	109.64
432900	101.63
433800	93.97
434700	86.59
435600	79.42
436500	72.92
437400	67.15
438300	62.54
439200	59.29
440100	57.05
441000	55.36
441900	54.28
442800	53.12
443700	52.04
444600	51.03
445500	50.11
446400	49.27
447300	48.63
448200	48.27
449100	48.03
450000	48.03
450900	48.11
451800	48.51
452700	49.03
453600	49.75
454500	50.63
455400	51.76
456300	53.12
457200	55.12
458100	58.37
459000	64.06
459900	73.08
460800	85.95
461700	101.91
462600	119.27
463500	136.58
464400	152.74
465300	167.53
466200	180.92
467100	192.95
468000	203.73
468900	213.64
469800	223.02
470700	232.56
471600	242.22
472500	251.32
473400	258.86
474300	263.87
475200	265.35
476100	263.35
477000	258.01
477900	249.23
478800	237.57
479700	223.94
480600	209.63
481500	196.12
482400	184.17
483300	174.07
484200	165.53
485100	158.51
486000	152.86
486900	148.01
487800	143.84
488700	139.71
489600	135.7
490500	132.7
491400	131.81
492300	134.58
493200	141.48
494100	151.5
495000	162.88
495900	174.15
496800	183.93
497700	192.35
498600	200.13
499500	207.5
500400	214.92
501300	221.01
502200	224.42
503100	223.18
504000	216.64
504900	206.38
505800	194.95
506700	184.57
507600	177.15
508500	171.9
509400	167.53
510300	162.64
511200	156.35
512100	148.61
513000	139.83
513900	130.29
514800	120.55
515700	110.77
516600	101.15
517500	91.72
518400	84.79
519300	76.25
520200	68.87
521100	62.62
522000	57.93
522900	54.68
523800	52.56
524700	51.15
525600	50.31
526500	49.67
527400	49.43
528300	49.07
529200	48.67
530100	48.43
531000	48.07
531900	48.07
532800	48.15
533700	48.67
534600	49.31
535500	50.15
536400	51.31
537300	54.08
538200	59.85
539100	70
540000	85.27
540900	103.83
541800	122.91
542700	139.87
543600	152.5
544500	161.2
545400	166.45
546300	169.06
547200	169.82
548100	169.06
549000	166.97
549900	163.93
550800	160.2
551700	156.27
552600	152.42
553500	149.25
554400	147.13
555300	145.72
556200	145.12
557100	145.12
558000	145.64
558900	146.73
559800	148.89
560700	152.42
561600	157.27
562500	162.52
563400	166.81
564300	169.06
565200	168.29
566100	165.21
567000	160.52
567900	155.51
568800	150.74
569700	146.49
570600	142.64
571500	138.87
572400	135.34
573300	132.33
574200	129.85
575100	128.45
576000	128.17
576900	129.45
577800	132.45
578700	137.87
579600	145.48
580500	155.15
581400	166.29
582300	178.48
583200	191.15
584100	203.41
585000	214.72
585900	224.38
586800	231.68
587700	236.05
588600	236.93
589500	233.76
590400	226.66
591300	216.6
592200	205.58
593100	195.15
594000	186.78
594900	179.84
595800	173.59
596700	167.05
597600	159.52
598500	151.14
599400	142.12
600300	132.58
601200	122.91
602100	113.13
603000	103.51
603900	93.97
604800	88.88
605700	85.59
606600	82.74
607500	79.5
608400	74.73
609300	69.03
610200	63.42
611100	58.49
612000	55.12
612900	53.12
613800	51.96
614700	51.23
615600	50.59
616500	50.11
617400	49.59
618300	49.11
619200	48.71
620100	48.35
621000	48.11
621900	48.11
622800	48.35
623700	49.11
624600	50.59
625500	53.24
626400	57.25
627300	62.66
628200	69.43
629100	77.33
630000	86.51
630900	96.82
631800	108.12
632700	120.15
633600	132.82
634500	145.36
635400	156.79
636300	166.09
637200	172.7
638100	177.15
639000	179.92
639900	181.76
640800	183.29
641700	184.77
642600	186.29
643500	188.06
644400	190.18
645300	192.71
646200	195.84
647100	199.6
648000	203.85
648900	208.1
649800	211.39
650700	213.15
651600	212.63
652500	210.39
653400	206.86
654300	202.73
655200	198.48
656100	194.47
657000	190.54
657900	187.02
658800	183.93
659700	181.24
660600	179.16
661500	177.64
662400	176.87
663300	177.92
664200	181.93
665100	190.18
666000	203.25
666900	219.17
667800	235.24
668700	248.67
669600	257.57
670500	262.5
671400	265.03
672300	266.35
673200	267.64
674100	267.36
675000	264.11
675900	255.97
676800	242.18
677700	224.7
678600	206.38
679500	190.18
680400	178.16
681300	169.86
682200	164.45
683100	160.92
684000	158.31
684900	155.79
685800	152.66
686700	148.37
687600	142.36
688500	134.82
689400	126.52
690300	118.14
691200	109.96
692100	101.91
693000	94.21
693900	86.83
694800	79.66
695700	73.12
696600	67.35
697500	62.7
698400	59.45
699300	57.17
700200	55.52
701100	54.4
702000	53.28
702900	52.16
703800	51.15
704700	50.23
705600	49.39
706500	48.75
707400	48.39
708300	48.15
709200	48.15
710100	48.23
711000	48.63
711900	49.15
712800	49.91
713700	50.75
714600	51.92
715500	53.28
716400	55.28
717300	58.53
718200	64.22
719100	73.28
720000	86.19
720900	102.15
721800	119.59
722700	136.94
723600	153.14
724500	167.97
725400	181.4
726300	193.47
727200	204.25
728100	214.2
729000	223.62
729900	233.16
730800	242.86
731700	252
732600	259.54
733500	264.55
734400	266.07
735300	264.07
736200	258.7
737100	249.88
738000	238.17
738900	224.5
739800	210.19
740700	196.64
741600	184.65
742500	174.51
743400	165.97
744300	158.95
745200	153.26
746100	148.37
747000	144.2
747900	140.11
748800	136.06
749700	133.06
750600	132.17
751500	134.9
752400	141.84
753300	151.9
754200	163.32
755100	174.63
756000	184.41
756900	192.87
757800	200.65
758700	208.02
759600	215.48
760500	221.61
761400	225.02
762300	223.78
763200	217.24
764100	206.94
765000	195.48
765900	185.05
766800	177.64
767700	172.34
768600	167.97
769500	163.04
770400	156.79
771300	148.97
772200	140.19
773100	130.65
774000	120.87
774900	111.05
775800	101.39
776700	91.96
777600	84.99
778500	76.45
779400	69.03
780300	62.74
781200	58.09
782100	54.8
783000	52.72
783900	51.27
784800	50.43
785700	49.79
786600	49.51
787500	49.19
788400	48.79
789300	48.51
790200	48.19
791100	48.19
792000	48.27
792900	48.79
793800	49.43
794700	50.27
795600	51.43
796500	54.2
797400	59.97
798300	70.16
799200	85.47
800100	104.07
801000	123.19
801900	140.19
802800	152.86
803700	161.56
804600	166.85
805500	169.46
806400	170.22
807300	169.46
808200	167.33
809100	164.33
810000	160.56
810900	156.63
811800	152.78
812700	149.61
813600	147.49
814500	146.09
815400	145.48
816300	145.48
817200	145.97
818100	147.09
819000	149.25
819900	152.78
820800	157.63
821700	162.92
822600	167.21
823500	169.46
824400	168.7
825300	165.57
826200	160.92
827100	155.87
828000	151.1
828900	146.85
829800	142.96
830700	139.19
831600	135.66
832500	132.66
833400	130.13
834300	128.73
835200	128.49
836100	129.73
837000	132.74
837900	138.19
838800	145.8
839700	155.55
840600	166.69
841500	178.92
842400	191.59
843300	203.89
844200	215.2
845100	224.9
846000	232.2
846900	236.57
847800	237.49
848700	234.32
849600	227.19
850500	217.12
851400	206.06
852300	195.6
853200	187.22
854100	180.28
855000	173.99
855900	167.45
856800	159.92
857700	151.5
858600	142.44
859500	132.9
860400	123.19
861300	113.37
862200	103.75
863100	94.17
864000	85.03
864900	76.49
865800	69.07
866700	62.78
867600	58.13
868500	54.84
869400	52.72
870300	51.31
871200	50.47
872100	49.79
873000	49.55
873900	49.19
874800	48.79
875700	48.55
876600	48.19
877500	48.19
878400	48.31
879300	48.79
880200	49.47
881100	50.31
882000	51.47
882900	54.24
883800	60.01
884700	70.2
885600	85.55
886500	104.15
887400	123.27
888300	140.27
889200	152.94
890100	161.64
891000	166.93
891900	169.54
892800	170.3
893700	169.54
894600	167.45
895500	164.41
896400	160.64
897300	156.71
898200	152.86
899100	149.69
900000	147.57
900900	146.17
901800	145.56
902700	145.56
903600	146.05
904500	147.17
905400	149.33
906300	152.86
907200	157.75
908100	163
909000	167.29
909900	169.54
910800	168.82
911700	165.69
912600	161
913500	155.99
914400	151.18
915300	146.93
916200	143.04
917100	139.27
918000	135.74
918900	132.74
919800	130.21
920700	128.81
921600	128.57
922500	129.81
923400	132.82
924300	138.27
925200	145.92
926100	155.63
927000	166.77
927900	179
928800	191.71
929700	204.01
930600	215.36
931500	225.06
932400	232.36
933300	236.73
934200	237.65
935100	234.44
936000	227.31
936900	217.24
937800	206.18
938700	195.72
939600	187.3
940500	180.36
941400	174.07
942300	167.53
943200	160
944100	151.58
945000	142.52
945900	132.98
946800	123.27
947700	113.45
948600	103.79
949500	94.25
